datetime,humid_int
2025-10-26 02:00:00+02:00,54.57
2025-10-26 02:07:08.655782+02:00,54.48
2025-10-26 02:22:08.906393+02:00,54.37
2025-10-26 02:42:09.199497+02:00,54.27
2025-10-26 02:57:09.407167+02:00,54.17
2025-10-26 02:17:09.683300+01:00,54.07
2025-10-26 02:27:09.847280+01:00,53.97
2025-10-26 02:37:10.025870+01:00,53.87
2025-10-26 02:42:10.125707+01:00,53.77
2025-10-26 02:52:10.278311+01:00,53.67
2025-10-26 02:57:10.356720+01:00,53.57
2025-10-26 03:07:10.529008+01:00,53.47
2025-10-26 03:17:10.656099+01:00,53.36
2025-10-26 03:27:10.821775+01:00,53.27
2025-10-26 03:37:10.985027+01:00,53.16
2025-10-26 03:47:11.118394+01:00,53.07
2025-10-26 03:57:11.258947+01:00,52.97
2025-10-26 04:02:11.331587+01:00,52.86
2025-10-26 04:12:11.502049+01:00,52.77
2025-10-26 04:22:11.625893+01:00,52.66
2025-10-26 04:27:11.704068+01:00,52.57
2025-10-26 04:47:12.027032+01:00,52.46
2025-10-26 04:57:12.201158+01:00,52.36
2025-10-26 05:17:12.516116+01:00,52.26
2025-10-26 05:32:12.695127+01:00,52.16
2025-10-26 05:37:12.792646+01:00,52.26
2025-10-26 05:52:13.072789+01:00,52.16
2025-10-26 05:57:13.149376+01:00,52.26
2025-10-26 06:12:13.353019+01:00,52.16
2025-10-26 06:27:13.606492+01:00,52.06
2025-10-26 06:42:13.823105+01:00,52.16
2025-10-26 06:51:08.037590+01:00,51.06
2025-10-26 06:56:08.155277+01:00,51.96
2025-10-26 07:01:08.235046+01:00,52.06
2025-10-26 07:06:08.298012+01:00,51.96
2025-10-26 07:11:08.376923+01:00,51.76
2025-10-26 07:16:08.436775+01:00,51.66
2025-10-26 07:31:08.698872+01:00,51.56
2025-10-26 07:41:08.840675+01:00,51.46
2025-10-26 07:51:08.948950+01:00,51.36
2025-10-26 08:06:09.164459+01:00,51.26
2025-10-26 08:21:09.358810+01:00,51.16
2025-10-26 08:36:09.606869+01:00,51.06
2025-10-26 09:11:10.182993+01:00,50.95
2025-10-26 09:56:10.895754+01:00,51.06
2025-10-26 10:41:11.621840+01:00,51.16
2025-10-26 10:46:11.694992+01:00,51.06
2025-10-26 10:56:11.867150+01:00,51.16
2025-10-26 11:51:12.751125+01:00,51.36
2025-10-26 11:56:12.830350+01:00,51.26
2025-10-26 12:06:12.962455+01:00,51.06
2025-10-26 12:11:13.015956+01:00,50.95
2025-10-26 12:16:13.115888+01:00,50.86
2025-10-26 12:21:13.180307+01:00,51.06
2025-10-26 12:26:13.280377+01:00,51.46
2025-10-26 12:28:15.706367+01:00,52.57
2025-10-26 12:30:16.155464+01:00,53.67
2025-10-26 12:35:16.241989+01:00,54.57
2025-10-26 12:39:48.355054+01:00,55.58
2025-10-26 12:44:48.432790+01:00,55.68
2025-10-26 12:49:48.478934+01:00,55.48
2025-10-26 12:54:48.589427+01:00,55.38
2025-10-26 12:59:48.671786+01:00,55.18
2025-10-26 13:04:48.757223+01:00,54.87
2025-10-26 13:09:48.810297+01:00,54.57
2025-10-26 13:14:48.886856+01:00,54.27
2025-10-26 13:19:48.978000+01:00,54.07
2025-10-26 13:24:49.046348+01:00,53.87
2025-10-26 13:29:49.105738+01:00,53.57
2025-10-26 13:34:49.195516+01:00,53.47
2025-10-26 13:39:49.247231+01:00,53.27
2025-10-26 13:44:49.306697+01:00,53.07
2025-10-26 13:49:49.353745+01:00,52.86
2025-10-26 13:54:49.429390+01:00,52.66
2025-10-26 13:59:49.501303+01:00,52.57
2025-10-26 14:04:49.546921+01:00,52.46
2025-10-26 14:09:49.656561+01:00,52.36
2025-10-26 14:14:49.737832+01:00,52.26
2025-10-26 14:19:49.814636+01:00,52.16
2025-10-26 14:24:49.903744+01:00,52.06
2025-10-26 14:29:49.976440+01:00,51.86
2025-10-26 14:39:50.120595+01:00,51.66
2025-10-26 14:44:50.186635+01:00,51.56
2025-10-26 14:49:50.254931+01:00,51.46
2025-10-26 14:54:50.354643+01:00,51.36
2025-10-26 14:59:50.442980+01:00,51.16
2025-10-26 15:04:50.511572+01:00,51.06
2025-10-26 15:09:50.552831+01:00,50.86
2025-10-26 15:14:50.635028+01:00,50.75
2025-10-26 15:19:50.720982+01:00,50.65
2025-10-26 15:24:50.799224+01:00,50.45
2025-10-26 15:29:50.881642+01:00,50.35
2025-10-26 15:34:50.961196+01:00,50.25
2025-10-26 15:39:51.021764+01:00,50.15
2025-10-26 15:44:51.099465+01:00,50.05
2025-10-26 15:49:51.183342+01:00,49.95
2025-10-26 15:54:51.253602+01:00,49.75
2025-10-26 15:59:51.351783+01:00,49.65
2025-10-26 16:09:51.528922+01:00,49.45
2025-10-26 16:14:51.596148+01:00,49.35
2025-10-26 16:24:51.753295+01:00,49.25
2025-10-26 16:34:51.923647+01:00,49.15
2025-10-26 16:44:52.088785+01:00,49.04
2025-10-26 16:49:52.202280+01:00,48.95
2025-10-26 16:54:52.280417+01:00,48.84
2025-10-26 16:59:52.366049+01:00,48.74
2025-10-26 17:19:52.725318+01:00,48.64
2025-10-26 17:29:52.870865+01:00,48.54
2025-10-26 17:34:52.931732+01:00,48.64
2025-10-26 17:39:53.004934+01:00,48.54
2025-10-26 17:54:53.186678+01:00,48.64
2025-10-26 17:59:53.262975+01:00,48.54
2025-10-26 18:04:53.367562+01:00,48.57
2025-10-26 18:09:53.426920+01:00,48.54
2025-10-26 18:14:53.530633+01:00,48.57
2025-10-26 18:19:53.614474+01:00,48.54
2025-10-26 18:24:53.704720+01:00,48.57
2025-10-26 18:29:53.784949+01:00,48.67
2025-10-26 19:04:54.342832+01:00,48.77
2025-10-26 19:19:54.563273+01:00,48.87
2025-10-26 19:34:54.834366+01:00,48.97
2025-10-26 19:44:55.016462+01:00,49.07
2025-10-26 19:49:55.080190+01:00,48.97
2025-10-26 19:54:55.161080+01:00,48.95
2025-10-26 19:59:55.240841+01:00,49.04
2025-10-26 20:09:55.430058+01:00,49.15
2025-10-26 20:34:55.729370+01:00,49.35
2025-10-26 20:44:55.936252+01:00,49.45
2025-10-26 20:49:55.998559+01:00,49.55
2025-10-26 20:54:56.087815+01:00,49.65
2025-10-26 20:59:56.152878+01:00,49.75
2025-10-26 21:04:56.216258+01:00,49.93
2025-10-26 21:09:56.300273+01:00,50.53
2025-10-26 21:14:56.349844+01:00,50.43
2025-10-26 21:19:56.433172+01:00,50.35
2025-10-26 21:39:56.766939+01:00,50.25
2025-10-26 22:14:57.180005+01:00,50.15
2025-10-26 22:34:57.544911+01:00,50.25
2025-10-26 22:54:57.819382+01:00,50.35
2025-10-26 23:04:57.966972+01:00,50.45
2025-10-26 23:14:58.156936+01:00,50.55
2025-10-26 23:19:58.214763+01:00,50.65
2025-10-26 23:24:58.283891+01:00,50.75
2025-10-26 23:29:58.369984+01:00,50.86
2025-10-26 23:34:58.448554+01:00,50.95
2025-10-26 23:39:58.537431+01:00,51.16
2025-10-26 23:49:58.714985+01:00,51.26
2025-10-26 23:54:58.763614+01:00,51.36
2025-10-27 00:04:58.922783+01:00,51.46
2025-10-27 00:14:59.089927+01:00,51.56
2025-10-27 00:19:59.163290+01:00,51.66
2025-10-27 00:24:59.260462+01:00,51.76
2025-10-27 00:29:59.344415+01:00,51.86
2025-10-27 00:34:59.403599+01:00,51.96
2025-10-27 00:39:59.477772+01:00,52.06
2025-10-27 00:44:59.519405+01:00,52.16
2025-10-27 00:49:59.576271+01:00,52.26
2025-10-27 00:54:59.636194+01:00,52.36
2025-10-27 00:59:59.694971+01:00,52.46
2025-10-27 01:04:59.790354+01:00,52.57
2025-10-27 01:09:59.853251+01:00,52.66
2025-10-27 01:14:59.903903+01:00,52.77
2025-10-27 01:25:00.052944+01:00,52.86
2025-10-27 01:30:00.121472+01:00,52.97
2025-10-27 01:35:00.186752+01:00,53.07
2025-10-27 01:45:00.338554+01:00,53.16
2025-10-27 01:50:00.422404+01:00,53.27
2025-10-27 02:00:00.550944+01:00,53.36
2025-10-27 02:05:00.631537+01:00,53.47
2025-10-27 02:10:00.730651+01:00,53.57
2025-10-27 02:20:00.903905+01:00,53.67
2025-10-27 02:30:01.055127+01:00,53.77
2025-10-27 02:40:01.234671+01:00,53.87
2025-10-27 02:45:01.294858+01:00,53.97
